Date,User ID,Registration Source,Subscription Status,Subscription Start Date,Subscription End Date,Number of Active Widgets,Number of Widget Interactions,Time Spent on Platform,Location
2023-05-25,U01195,Organic,Monthly,2023-05-27,,7,1596,57,France
2023-01-20,U01196,Social Media,Free Trial,2023-01-29,,9,1845,326,UK
2023-05-28,U01197,Referral,Free Trial,2023-05-29,,9,747,26,Germany
2023-09-09,U01198,Referral,Inactive,2023-09-22,2023-11-16,0,0,305,Germany
2023-04-08,U01199,Social Media,Free Trial,2023-04-20,,1,234,340,India
2023-08-23,U01200,Organic,Free Trial,2023-08-28,,6,792,354,France
2023-03-23,U01201,Social Media,Annual,2023-03-26,,8,888,921,Brazil
2023-12-16,U01202,Organic,Monthly,2023-12-26,,1,273,94,India
2023-03-02,U01203,Organic,Inactive,2023-03-05,2023-04-15,0,0,291,France
2023-07-02,U01204,Organic,Monthly,2023-07-07,,1,417,217,Germany
2022-12-31,U01205,PPC,Free Trial,2023-01-08,,5,2480,449,Germany
2023-03-07,U01206,Social Media,Inactive,2023-03-08,2023-04-12,0,0,49,Germany
2023-08-23,U01207,PPC,Free Trial,2023-09-06,,4,968,478,Germany
2023-02-14,U01208,PPC,Monthly,2023-02-15,,1,284,105,USA
2023-11-01,U01209,Organic,Monthly,2023-11-06,,7,1869,461,Germany
2023-09-09,U01210,Referral,Free Trial,2023-09-15,,8,2560,495,Germany
2023-04-16,U01211,PPC,Monthly,2023-04-28,,5,740,259,Brazil
2023-01-24,U01212,PPC,Free Trial,2023-01-30,,2,472,382,Brazil
2023-12-16,U01213,Organic,Monthly,2023-12-24,,8,2256,145,France
2023-02-02,U01214,Social Media,Monthly,2023-02-09,,1,435,82,Germany
2023-09-07,U01215,PPC,Annual,2023-09-16,,7,2282,1339,Germany
2023-02-21,U01216,Organic,Inactive,2023-02-25,2023-04-10,0,0,282,France
2023-07-24,U01217,Organic,Free Trial,2023-07-25,,6,570,178,Germany
2023-06-18,U01218,PPC,Monthly,2023-06-28,,6,1800,342,Germany
2023-09-05,U01219,PPC,Monthly,2023-09-10,,5,2390,402,India
2023-05-07,U01220,Organic,Free Trial,2023-05-13,,2,452,207,USA
2023-06-28,U01221,Referral,Annual,2023-07-03,,2,736,1099,France
2023-02-10,U01222,Organic,Annual,2023-02-13,,9,675,1892,India
2023-11-13,U01223,PPC,Free Trial,2023-11-24,,5,1330,110,Brazil
2023-03-01,U01224,Referral,Monthly,2023-03-06,,5,720,368,UK
2023-09-06,U01225,PPC,Free Trial,2023-09-16,,7,2891,244,UK
2023-05-31,U01226,PPC,Monthly,2023-06-14,,6,2616,289,Brazil
2023-07-13,U01227,Organic,Free Trial,2023-07-17,,2,768,338,USA
2023-01-21,U01228,Organic,Inactive,2023-01-28,2023-03-14,0,0,386,UK
2023-04-19,U01229,Referral,Annual,2023-04-24,,5,320,976,USA
2023-11-01,U01230,PPC,Monthly,2023-11-15,,4,1460,404,UK
2023-09-15,U01231,Social Media,Monthly,2023-09-19,,3,756,44,UK
2023-02-07,U01232,Organic,Inactive,2023-02-12,2023-03-23,0,0,166,India
2023-11-01,U01233,Organic,Monthly,2023-11-12,,2,60,401,UK
2023-01-03,U01234,Organic,Free Trial,2023-01-07,,4,1264,282,Brazil
2023-11-03,U01235,PPC,Monthly,2023-11-05,,2,878,464,USA
2023-06-17,U01236,Organic,Inactive,2023-06-19,2023-07-22,0,0,405,Germany
2023-02-07,U01237,Social Media,Monthly,2023-02-08,,3,1095,249,Germany
2023-08-04,U01238,PPC,Monthly,2023-08-07,,9,2457,216,Germany
2023-12-12,U01239,Referral,Inactive,2023-12-17,2024-01-05,0,0,254,USA
2023-07-02,U01240,Organic,Inactive,2023-07-05,2023-07-24,0,0,102,USA
2023-11-15,U01241,Social Media,Inactive,2023-11-23,2024-01-03,0,0,118,Germany
2023-09-06,U01242,Social Media,Free Trial,2023-09-18,,9,684,315,Brazil
2023-02-20,U01243,Social Media,Monthly,2023-03-04,,7,1456,123,UK
2023-10-02,U01244,Social Media,Annual,2023-10-07,,6,1206,838,Germany
2023-08-21,U01245,Social Media,Annual,2023-08-31,,4,44,1030,France
2023-10-06,U01246,PPC,Monthly,2023-10-08,,5,1330,471,USA
2023-09-16,U01247,Organic,Free Trial,2023-09-29,,8,3608,261,France
2023-07-25,U01248,Organic,Annual,2023-08-03,,3,30,1584,France
2023-07-31,U01249,Referral,Annual,2023-08-13,,2,734,1608,USA
2023-12-31,U01250,PPC,Free Trial,2024-01-04,,3,372,218,Germany
2023-06-10,U01251,Social Media,Monthly,2023-06-23,,7,2800,452,Brazil
2023-03-03,U01252,PPC,Free Trial,2023-03-15,,8,776,64,India
2023-08-03,U01253,Organic,Monthly,2023-08-10,,1,206,36,France
2023-09-04,U01254,Organic,Free Trial,2023-09-08,,7,3346,332,Germany
2023-05-25,U01255,PPC,Monthly,2023-06-02,,9,909,453,India
2023-01-06,U01256,PPC,Monthly,2023-01-16,,3,849,11,France
2023-08-07,U01257,Organic,Monthly,2023-08-09,,3,1059,77,Germany
2023-08-18,U01258,PPC,Monthly,2023-08-27,,8,1352,411,France
2023-01-01,U01259,Organic,Inactive,2023-01-07,2023-02-04,0,0,157,Germany
2023-01-30,U01260,PPC,Free Trial,2023-02-08,,8,336,478,Brazil
2023-01-30,U01261,Organic,Free Trial,2023-01-31,,5,2335,328,UK
2023-03-09,U01262,Social Media,Inactive,2023-03-19,2023-04-23,0,0,471,UK
2023-04-07,U01263,Organic,Free Trial,2023-04-15,,4,1768,337,USA
2023-10-08,U01264,PPC,Inactive,2023-10-21,2023-12-06,0,0,139,India
2023-05-29,U01265,Organic,Inactive,2023-05-30,2023-06-22,0,0,483,France
2023-06-28,U01266,Organic,Monthly,2023-07-04,,6,2784,92,France
2023-08-01,U01267,Organic,Inactive,2023-08-03,2023-10-02,0,0,51,Germany
2023-02-22,U01268,PPC,Free Trial,2023-03-01,,9,2637,165,India
2023-03-17,U01269,PPC,Monthly,2023-03-27,,6,576,166,France
2023-01-25,U01270,Organic,Monthly,2023-02-07,,3,954,462,India
2023-10-12,U01271,PPC,Monthly,2023-10-22,,3,699,116,India
2023-12-08,U01272,Social Media,Inactive,2023-12-18,2024-02-13,0,0,293,UK
2023-01-03,U01273,Social Media,Free Trial,2023-01-04,,2,690,197,France
2023-08-17,U01274,Organic,Monthly,2023-08-30,,1,448,114,France
2023-11-30,U01275,PPC,Monthly,2023-12-04,,1,147,121,USA
2023-10-09,U01276,Organic,Monthly,2023-10-11,,4,1116,483,India
2023-09-04,U01277,Organic,Free Trial,2023-09-18,,3,1104,142,Germany
2023-07-05,U01278,Referral,Monthly,2023-07-19,,5,225,280,UK
2023-01-20,U01279,Organic,Inactive,2023-01-21,2023-02-09,0,0,119,USA
2023-10-06,U01280,PPC,Free Trial,2023-10-10,,8,776,82,UK
2023-08-14,U01281,PPC,Inactive,2023-08-20,2023-09-09,0,0,425,Germany
2023-01-30,U01282,Social Media,Monthly,2023-02-06,,5,125,445,USA
2023-12-24,U01283,PPC,Annual,2024-01-03,,8,1936,1674,UK
2023-01-13,U01284,Organic,Annual,2023-01-22,,4,1720,1788,Germany
2023-09-13,U01285,Organic,Free Trial,2023-09-18,,5,250,152,Brazil
2023-09-03,U01286,PPC,Monthly,2023-09-15,,3,792,434,USA
2023-08-18,U01287,Organic,Inactive,2023-08-23,2023-10-04,0,0,269,Germany
2023-05-02,U01288,Organic,Monthly,2023-05-12,,3,405,254,USA
2023-01-21,U01289,Organic,Inactive,2023-02-04,2023-03-11,0,0,446,France
2023-11-22,U01290,Organic,Monthly,2023-12-04,,5,2405,493,France
2023-01-01,U01291,Organic,Free Trial,2023-01-10,,6,2862,349,UK
2023-11-11,U01292,Organic,Monthly,2023-11-24,,9,3393,164,India
2023-05-31,U01293,PPC,Inactive,2023-06-06,2023-06-30,0,0,158,Brazil
2023-02-06,U01294,PPC,Monthly,2023-02-09,,6,2094,69,India
2023-01-18,U01295,Social Media,Inactive,2023-01-26,2023-03-19,0,0,95,Germany
2023-04-08,U01296,Organic,Inactive,2023-04-10,2023-04-25,0,0,201,USA
2023-03-19,U01297,Organic,Monthly,2023-03-28,,2,370,336,France
2023-05-11,U01298,Organic,Free Trial,2023-05-17,,8,1896,440,India
2023-08-26,U01299,PPC,Annual,2023-09-01,,3,1389,1703,France
2023-11-03,U01300,Social Media,Monthly,2023-11-06,,6,1992,296,Brazil
2023-04-27,U01301,Organic,Annual,2023-05-09,,6,2466,1853,Germany
2023-12-23,U01302,Referral,Monthly,2024-01-05,,4,1504,264,Brazil
2023-08-30,U01303,Organic,Monthly,2023-09-10,,5,2485,443,Brazil
2023-04-22,U01304,PPC,Annual,2023-04-26,,2,54,1952,Germany
2023-03-17,U01305,Social Media,Monthly,2023-03-25,,8,520,135,USA
2023-04-14,U01306,Social Media,Monthly,2023-04-27,,7,2912,92,Brazil
2023-01-16,U01307,Social Media,Monthly,2023-01-21,,6,264,37,India
2023-11-20,U01308,Social Media,Monthly,2023-11-21,,7,2793,275,Germany
2023-12-16,U01309,Organic,Monthly,2023-12-22,,1,127,292,Germany
2023-01-16,U01310,Social Media,Inactive,2023-01-20,2023-02-10,0,0,406,France
2023-09-08,U01311,Organic,Monthly,2023-09-15,,7,1841,459,UK
2023-03-20,U01312,Social Media,Monthly,2023-03-30,,1,222,479,Brazil
2023-07-17,U01313,PPC,Monthly,2023-07-24,,2,140,260,India
2023-05-20,U01314,Social Media,Free Trial,2023-05-28,,9,873,477,USA
2023-04-04,U01315,PPC,Free Trial,2023-04-06,,3,840,197,Brazil
2023-11-15,U01316,PPC,Inactive,2023-11-23,2024-01-01,0,0,392,USA
2023-11-14,U01317,PPC,Annual,2023-11-16,,7,287,1256,France
2023-06-24,U01318,Social Media,Monthly,2023-06-28,,9,3645,78,Brazil
2023-09-30,U01319,Organic,Monthly,2023-10-02,,5,710,328,USA
2023-06-25,U01320,Organic,Free Trial,2023-07-01,,4,292,335,Brazil
2023-12-05,U01321,Organic,Monthly,2023-12-10,,2,416,108,Germany
2023-12-30,U01322,Organic,Monthly,2023-12-31,,3,795,202,Brazil
2023-05-30,U01323,Social Media,Monthly,2023-06-04,,5,1755,236,India
2023-03-14,U01324,Organic,Monthly,2023-03-24,,2,328,460,Brazil
2023-11-09,U01325,Referral,Free Trial,2023-11-21,,4,1888,191,USA
2023-10-27,U01326,Organic,Free Trial,2023-10-29,,1,240,429,India
2023-03-09,U01327,Organic,Inactive,2023-03-18,2023-05-08,0,0,336,USA
2023-12-31,U01328,Social Media,Monthly,2024-01-11,,7,308,102,UK
2023-09-20,U01329,PPC,Monthly,2023-09-26,,3,105,152,UK
2023-12-20,U01330,PPC,Free Trial,2023-12-24,,8,256,212,India
2023-06-17,U01331,PPC,Free Trial,2023-06-27,,6,900,411,UK
2023-09-04,U01332,Social Media,Annual,2023-09-12,,6,2898,1730,UK
2023-07-17,U01333,Organic,Monthly,2023-07-21,,1,396,481,Germany
2023-10-16,U01334,Referral,Monthly,2023-10-18,,5,1470,276,USA
2023-10-11,U01335,Referral,Free Trial,2023-10-14,,3,1377,143,UK
2023-06-12,U01336,PPC,Annual,2023-06-15,,1,329,1878,India
2023-01-23,U01337,Organic,Free Trial,2023-02-01,,8,1320,188,Germany
2023-06-16,U01338,PPC,Free Trial,2023-06-20,,7,3360,195,UK
2023-03-15,U01339,Organic,Monthly,2023-03-23,,7,3003,453,Brazil
2023-05-29,U01340,Organic,Free Trial,2023-06-11,,4,488,27,India
2023-07-31,U01341,Organic,Free Trial,2023-08-06,,6,2394,472,USA
2023-09-27,U01342,PPC,Monthly,2023-10-04,,9,1332,332,Brazil
2023-09-15,U01343,Social Media,Monthly,2023-09-23,,3,1293,410,UK
2023-02-15,U01344,Social Media,Inactive,2023-02-23,2023-03-17,0,0,106,India
2023-02-09,U01345,Social Media,Monthly,2023-02-17,,4,1708,43,Brazil
2023-04-22,U01346,PPC,Free Trial,2023-04-23,,5,1090,423,India
2023-08-07,U01347,Organic,Free Trial,2023-08-10,,7,2324,412,France
2023-04-13,U01348,Organic,Inactive,2023-04-18,2023-05-08,0,0,402,Brazil
2023-02-25,U01349,Referral,Monthly,2023-02-27,,8,3512,433,India
2023-03-25,U01350,Organic,Annual,2023-04-03,,8,3928,742,Brazil
2023-07-10,U01351,Social Media,Free Trial,2023-07-11,,8,760,360,France
2023-07-22,U01352,PPC,Monthly,2023-07-23,,3,882,196,USA
2023-01-18,U01353,PPC,Free Trial,2023-01-22,,6,414,356,USA
2023-11-23,U01354,Social Media,Monthly,2023-12-01,,7,441,120,Germany
2023-11-07,U01355,PPC,Inactive,2023-11-16,2024-01-15,0,0,418,Brazil
2023-05-16,U01356,Social Media,Inactive,2023-05-27,2023-07-12,0,0,256,France
2023-11-03,U01357,Referral,Monthly,2023-11-17,,5,2335,80,India
2023-12-16,U01358,PPC,Monthly,2023-12-29,,8,3736,318,Germany
2023-01-02,U01359,Organic,Inactive,2023-01-12,2023-02-13,0,0,441,Brazil
2023-01-06,U01360,PPC,Monthly,2023-01-09,,6,1644,336,Germany
2023-02-26,U01361,Referral,Free Trial,2023-03-03,,4,1564,221,Brazil
2023-03-18,U01362,Organic,Monthly,2023-03-19,,5,1110,318,USA
2023-09-06,U01363,PPC,Free Trial,2023-09-10,,5,1710,117,India
2023-08-02,U01364,PPC,Monthly,2023-08-14,,2,38,186,France
2023-04-25,U01365,Social Media,Monthly,2023-05-01,,8,2936,436,USA
2023-02-14,U01366,Organic,Monthly,2023-02-15,,2,424,237,Germany
2023-09-03,U01367,Social Media,Monthly,2023-09-16,,4,820,28,UK
2023-10-17,U01368,Referral,Free Trial,2023-10-18,,5,335,331,Germany
2023-06-28,U01369,Organic,Monthly,2023-07-02,,1,265,427,UK
2023-12-06,U01370,Organic,Inactive,2023-12-12,2024-01-14,0,0,257,Brazil
2023-07-09,U01371,Referral,Monthly,2023-07-11,,2,756,218,USA
2023-01-20,U01372,Organic,Monthly,2023-01-21,,5,945,225,Brazil
2023-09-27,U01373,Social Media,Inactive,2023-09-29,2023-11-27,0,0,210,France
2023-07-21,U01374,PPC,Inactive,2023-07-22,2023-08-14,0,0,447,India
2023-01-07,U01375,Organic,Free Trial,2023-01-08,,9,396,266,UK
2023-01-07,U01376,Social Media,Free Trial,2023-01-12,,6,2208,115,India
2023-05-31,U01377,PPC,Annual,2023-06-06,,5,560,1495,Brazil
2023-12-27,U01378,PPC,Inactive,2023-12-29,2024-02-19,0,0,320,USA
2023-12-03,U01379,Organic,Inactive,2023-12-07,2024-01-04,0,0,280,USA
2023-12-29,U01380,PPC,Inactive,2024-01-08,2024-02-19,0,0,392,Brazil
2023-11-17,U01381,Organic,Monthly,2023-11-18,,7,1344,478,Brazil
2023-02-01,U01382,Organic,Monthly,2023-02-14,,5,1810,280,USA
2023-12-28,U01383,Referral,Free Trial,2024-01-01,,7,1015,130,France
2023-03-29,U01384,Organic,Free Trial,2023-04-06,,1,439,416,UK
2023-10-26,U01385,PPC,Monthly,2023-11-05,,1,407,254,India
2023-12-03,U01386,Organic,Monthly,2023-12-11,,5,1175,75,Germany
2023-09-17,U01387,Social Media,Monthly,2023-09-28,,2,802,439,Brazil
2023-04-08,U01388,Organic,Annual,2023-04-19,,8,2016,909,Brazil
2023-01-02,U01389,Referral,Free Trial,2023-01-10,,3,345,379,USA
2023-10-31,U01390,PPC,Monthly,2023-11-12,,1,80,146,India
2023-09-25,U01391,Organic,Free Trial,2023-09-30,,2,172,203,India
2023-07-21,U01392,Organic,Monthly,2023-07-31,,7,441,203,France
2023-02-02,U01393,Organic,Annual,2023-02-16,,6,1716,1687,UK
2023-11-20,U01394,PPC,Monthly,2023-12-04,,8,960,154,France
2023-07-27,U01395,Organic,Inactive,2023-08-10,2023-10-01,0,0,498,France
2023-06-18,U01396,Social Media,Free Trial,2023-06-23,,8,672,81,India
2023-02-18,U01397,PPC,Monthly,2023-02-24,,3,69,363,UK
2023-03-19,U01398,Organic,Monthly,2023-03-31,,6,2808,427,UK
2023-06-01,U01399,PPC,Monthly,2023-06-10,,7,1869,462,UK
2023-09-24,U01400,Social Media,Inactive,2023-09-27,2023-10-29,0,0,201,USA
2023-12-18,U01401,Organic,Monthly,2023-12-22,,1,198,53,UK
2023-07-11,U01402,Organic,Inactive,2023-07-19,2023-08-21,0,0,166,India
2023-05-28,U01403,Organic,Free Trial,2023-06-02,,3,744,455,USA
2023-01-14,U01404,Social Media,Inactive,2023-01-25,2023-02-27,0,0,485,Germany
2023-11-29,U01405,PPC,Free Trial,2023-12-13,,5,1715,25,Brazil
2023-06-10,U01406,PPC,Inactive,2023-06-23,2023-08-14,0,0,87,France
2023-06-05,U01407,Social Media,Monthly,2023-06-14,,2,626,61,UK
2023-06-10,U01408,Social Media,Monthly,2023-06-19,,3,300,11,Germany
2023-07-27,U01409,PPC,Monthly,2023-07-29,,6,2406,241,UK
2023-12-27,U01410,Social Media,Inactive,2024-01-10,2024-02-03,0,0,70,France
2022-12-31,U01411,Organic,Free Trial,2023-01-09,,5,130,141,India
2023-09-26,U01412,Organic,Monthly,2023-10-08,,9,4158,391,India
2023-08-08,U01413,Organic,Inactive,2023-08-15,2023-09-06,0,0,61,France
2023-02-06,U01414,Organic,Monthly,2023-02-15,,6,1050,306,Germany
2023-09-03,U01415,PPC,Free Trial,2023-09-10,,5,775,189,USA
2023-10-11,U01416,Referral,Monthly,2023-10-21,,5,1455,40,Brazil
2023-03-03,U01417,Organic,Monthly,2023-03-11,,6,2928,419,Brazil
2023-01-29,U01418,Organic,Inactive,2023-02-09,2023-04-10,0,0,164,Brazil
2023-12-22,U01419,PPC,Annual,2023-12-31,,1,79,1573,USA
2023-05-11,U01420,Referral,Monthly,2023-05-12,,9,1602,60,UK
2023-07-12,U01421,Organic,Inactive,2023-07-18,2023-09-08,0,0,491,France
2023-11-07,U01422,PPC,Monthly,2023-11-12,,1,179,104,France
2023-11-22,U01423,Organic,Free Trial,2023-12-05,,8,2096,185,USA
2023-04-04,U01424,Organic,Free Trial,2023-04-07,,7,2485,20,Germany
2023-04-26,U01425,Referral,Monthly,2023-05-06,,7,3283,401,Brazil
2023-02-28,U01426,Referral,Free Trial,2023-03-10,,5,1530,21,France
2023-12-20,U01427,Organic,Inactive,2023-12-27,2024-02-20,0,0,364,India
2023-08-12,U01428,Referral,Annual,2023-08-18,,9,1359,1811,India
2023-11-22,U01429,PPC,Free Trial,2023-11-26,,9,3546,299,France
2023-08-30,U01430,Social Media,Monthly,2023-09-12,,8,2256,214,Brazil
2023-04-08,U01431,PPC,Annual,2023-04-21,,5,1170,1119,Brazil
2023-10-31,U01432,PPC,Inactive,2023-11-03,2023-12-06,0,0,337,Brazil
2023-04-11,U01433,PPC,Inactive,2023-04-19,2023-05-24,0,0,440,Germany
2023-12-16,U01434,PPC,Monthly,2023-12-26,,1,62,265,India
2023-02-21,U01435,Organic,Annual,2023-03-06,,3,381,1644,Germany
2023-05-05,U01436,Organic,Monthly,2023-05-15,,7,2618,30,USA
2023-11-29,U01437,Organic,Monthly,2023-11-30,,4,672,50,UK
2023-10-30,U01438,Social Media,Free Trial,2023-11-07,,7,3185,468,Brazil
2023-03-05,U01439,Organic,Free Trial,2023-03-19,,5,725,287,USA
2023-02-16,U01440,PPC,Monthly,2023-02-18,,6,2538,286,UK
2023-09-19,U01441,Referral,Free Trial,2023-10-01,,7,602,421,India
2023-10-11,U01442,Organic,Free Trial,2023-10-12,,7,2415,204,UK
2023-03-03,U01443,PPC,Annual,2023-03-17,,7,3213,1994,UK
2023-06-11,U01444,PPC,Free Trial,2023-06-15,,7,378,279,France
2023-03-29,U01445,Social Media,Monthly,2023-04-08,,7,189,344,UK
2023-10-14,U01446,Organic,Monthly,2023-10-28,,3,1092,82,France
2023-02-03,U01447,PPC,Inactive,2023-02-16,2023-04-13,0,0,317,UK
2023-03-24,U01448,Social Media,Monthly,2023-03-27,,7,2884,436,France
2023-05-03,U01449,Referral,Free Trial,2023-05-17,,2,428,208,India
2023-03-12,U01450,PPC,Monthly,2023-03-13,,2,666,85,India
2023-02-20,U01451,PPC,Inactive,2023-02-26,2023-04-23,0,0,284,UK
2023-04-26,U01452,PPC,Inactive,2023-05-06,2023-06-20,0,0,292,Germany
2023-11-08,U01453,Social Media,Monthly,2023-11-18,,6,1740,155,India
2023-02-24,U01454,PPC,Monthly,2023-03-06,,8,1400,22,USA
2023-01-03,U01455,Organic,Inactive,2023-01-11,2023-02-19,0,0,372,USA
2023-01-17,U01456,Referral,Free Trial,2023-01-31,,4,1544,138,France
2023-12-28,U01457,PPC,Monthly,2023-12-31,,2,976,239,Germany
2023-07-23,U01458,PPC,Monthly,2023-08-03,,2,346,94,Brazil
2023-02-01,U01459,Organic,Free Trial,2023-02-04,,4,1332,171,France
2023-08-05,U01460,PPC,Monthly,2023-08-11,,6,390,406,UK
2023-06-09,U01461,Organic,Free Trial,2023-06-19,,3,144,374,India
2023-10-17,U01462,PPC,Monthly,2023-10-28,,6,1968,380,Germany
2023-05-28,U01463,Organic,Inactive,2023-06-08,2023-07-27,0,0,498,France
2023-11-25,U01464,PPC,Free Trial,2023-12-06,,5,2000,60,France
2023-02-07,U01465,Referral,Inactive,2023-02-18,2023-03-16,0,0,224,USA
2023-04-27,U01466,Organic,Free Trial,2023-05-04,,8,2048,10,UK
2023-02-16,U01467,Referral,Monthly,2023-02-24,,5,975,480,France
2023-05-02,U01468,PPC,Free Trial,2023-05-15,,2,434,386,USA
2023-01-31,U01469,Social Media,Inactive,2023-02-08,2023-02-28,0,0,421,Germany
2023-04-27,U01470,Social Media,Annual,2023-05-02,,9,2817,995,France
2023-07-26,U01471,PPC,Monthly,2023-08-07,,9,3582,297,Brazil
2023-10-08,U01472,Social Media,Inactive,2023-10-11,2023-11-30,0,0,209,Brazil
2023-06-23,U01473,Social Media,Monthly,2023-07-02,,7,1568,192,USA
2023-09-09,U01474,PPC,Inactive,2023-09-15,2023-11-04,0,0,419,Brazil
2023-11-06,U01475,Organic,Annual,2023-11-14,,6,1398,749,UK
2023-01-31,U01476,PPC,Inactive,2023-02-13,2023-03-21,0,0,225,India
2023-12-25,U01477,Social Media,Monthly,2024-01-03,,2,68,249,Brazil
2023-02-22,U01478,Social Media,Free Trial,2023-02-23,,4,1752,358,Germany
2023-03-15,U01479,Social Media,Monthly,2023-03-23,,4,916,77,France
2023-02-23,U01480,PPC,Free Trial,2023-03-01,,2,568,328,USA
2023-05-23,U01481,Social Media,Monthly,2023-05-29,,8,1152,91,France
2023-11-21,U01482,Organic,Monthly,2023-12-01,,2,902,151,India
2023-06-19,U01483,PPC,Monthly,2023-06-21,,3,726,420,France
2023-08-20,U01484,Organic,Free Trial,2023-08-31,,4,1896,50,France
2023-11-19,U01485,Organic,Free Trial,2023-11-23,,9,675,248,USA
2023-10-23,U01486,Organic,Monthly,2023-11-04,,1,89,12,India
2023-09-05,U01487,Organic,Inactive,2023-09-13,2023-09-29,0,0,103,Germany
2023-04-22,U01488,PPC,Monthly,2023-05-04,,5,1320,68,USA
2023-11-15,U01489,Organic,Monthly,2023-11-25,,7,938,237,India
2023-05-04,U01490,PPC,Annual,2023-05-06,,8,1240,1480,India
2023-08-28,U01491,Organic,Monthly,2023-09-08,,5,560,27,France
2023-02-17,U01492,Organic,Free Trial,2023-03-01,,8,3152,248,UK
2023-08-20,U01493,Organic,Monthly,2023-08-30,,8,3648,369,UK
2023-01-01,U01494,Organic,Free Trial,2023-01-09,,9,3564,83,Germany
2023-07-29,U01495,PPC,Inactive,2023-08-01,2023-09-01,0,0,385,France
2023-03-21,U01496,PPC,Free Trial,2023-04-04,,3,858,341,UK
2023-09-11,U01497,PPC,Monthly,2023-09-16,,1,391,178,USA
2023-05-19,U01498,PPC,Free Trial,2023-05-31,,4,532,273,Germany
2023-04-28,U01499,Organic,Free Trial,2023-05-10,,5,2115,169,France
2023-06-19,U01500,Social Media,Annual,2023-06-21,,1,276,1452,Brazil
2023-12-30,U01501,PPC,Free Trial,2024-01-12,,8,2296,178,USA
2023-08-12,U01502,PPC,Free Trial,2023-08-14,,2,240,438,UK
2023-12-09,U01503,Organic,Monthly,2023-12-17,,1,390,215,UK
2023-02-21,U01504,Organic,Free Trial,2023-03-01,,2,644,366,UK
2023-10-16,U01505,Organic,Free Trial,2023-10-22,,5,490,18,UK
2023-08-10,U01506,Organic,Inactive,2023-08-12,2023-08-27,0,0,355,India
2023-10-19,U01507,PPC,Annual,2023-10-26,,9,1503,1399,Brazil
2023-08-08,U01508,PPC,Inactive,2023-08-21,2023-09-29,0,0,124,Germany
2023-07-19,U01509,PPC,Inactive,2023-07-28,2023-09-19,0,0,161,Germany
2023-12-11,U01510,Social Media,Monthly,2023-12-14,,3,930,96,UK
2023-10-04,U01511,Social Media,Free Trial,2023-10-17,,7,315,104,Germany
2023-02-25,U01512,Social Media,Annual,2023-03-02,,3,288,1995,Brazil
2023-06-13,U01513,Referral,Inactive,2023-06-19,2023-08-05,0,0,437,USA
2023-11-30,U01514,Organic,Annual,2023-12-13,,6,2022,1599,USA
2023-11-08,U01515,Organic,Monthly,2023-11-15,,3,1371,459,Germany
2023-11-16,U01516,Organic,Free Trial,2023-11-22,,1,191,123,UK
2023-07-26,U01517,PPC,Inactive,2023-08-05,2023-09-01,0,0,283,France
2023-06-06,U01518,Social Media,Annual,2023-06-17,,1,443,1261,Brazil
2023-08-08,U01519,Organic,Inactive,2023-08-11,2023-09-19,0,0,38,UK
2023-11-24,U01520,Referral,Free Trial,2023-11-29,,2,336,212,India
2023-11-03,U01521,Organic,Free Trial,2023-11-12,,8,2352,11,France
2023-11-11,U01522,Referral,Free Trial,2023-11-25,,2,904,87,Brazil
2023-01-01,U01523,Organic,Annual,2023-01-12,,2,346,578,India
2023-05-29,U01524,Organic,Free Trial,2023-06-10,,8,3760,240,Germany
2023-02-19,U01525,PPC,Free Trial,2023-02-27,,6,2220,107,India
2023-02-02,U01526,Organic,Inactive,2023-02-05,2023-03-12,0,0,126,Germany
2023-12-30,U01527,Organic,Free Trial,2024-01-02,,3,384,119,India
2023-04-16,U01528,Organic,Inactive,2023-04-17,2023-05-14,0,0,176,France
2023-12-01,U01529,Social Media,Monthly,2023-12-02,,3,612,466,India
2023-08-18,U01530,PPC,Inactive,2023-08-20,2023-09-18,0,0,497,UK
2023-05-13,U01531,Organic,Monthly,2023-05-19,,5,1770,306,Germany
2023-12-17,U01532,PPC,Inactive,2023-12-23,2024-01-25,0,0,464,USA
2023-08-20,U01533,Social Media,Inactive,2023-09-02,2023-10-14,0,0,380,India
2023-03-11,U01534,Organic,Free Trial,2023-03-20,,1,148,346,Germany
2023-11-21,U01535,PPC,Free Trial,2023-12-02,,1,381,387,USA
2023-11-05,U01536,Organic,Free Trial,2023-11-07,,4,1616,96,Germany
2023-02-27,U01537,Organic,Monthly,2023-03-02,,3,750,468,Germany
2023-04-08,U01538,PPC,Inactive,2023-04-10,2023-06-06,0,0,31,USA
2023-08-09,U01539,Organic,Monthly,2023-08-15,,7,434,219,USA
2023-11-22,U01540,PPC,Monthly,2023-12-06,,7,1057,314,France
2023-03-14,U01541,Social Media,Free Trial,2023-03-28,,8,2632,421,Brazil
2023-11-11,U01542,Organic,Inactive,2023-11-15,2023-12-29,0,0,281,India
2023-10-17,U01543,PPC,Inactive,2023-10-18,2023-12-16,0,0,499,India
2023-07-25,U01544,Organic,Free Trial,2023-07-29,,4,160,333,Germany
2023-12-29,U01545,Referral,Monthly,2024-01-12,,6,1392,455,UK
2023-12-17,U01546,PPC,Free Trial,2023-12-24,,3,903,429,UK
2023-09-16,U01547,Social Media,Monthly,2023-09-27,,3,825,287,Brazil
2023-09-04,U01548,PPC,Monthly,2023-09-17,,6,1746,148,Germany
